Ano,Trimestre,Mês,Dia,Sexo,Nome,Código Cliente,Nº de Filhos,E-mail
1959,Trim 3,julho,20,Masculino,Guilherme Rachide,537,0,guilherme37@live.com.br
1959,Trim 3,agosto,12,Feminino,Caroline Pinto,475,3,caroline3@outlook.com
1959,Trim 3,agosto,27,Masculino,Norman Jimbo,809,0,norman54@outlook.com
1959,Trim 4,outubro,1,Masculino,Caio Moura,404,0,caio26@gmail.com
1959,Trim 4,novembro,3,Masculino,Gabriel Rocha,625,1,gabriel33@yahoo.com
1959,Trim 4,novembro,18,Masculino,Raphael Machado,259,1,raphael44@icloud.com
1959,Trim 4,novembro,24,Feminino,Leticia Mesquita,309,2,leticia47@gmail.com.br
1959,Trim 4,dezembro,1,Feminino,Ananda Gouvêa,757,3,ananda31@yahoo.com.br
1960,Trim 1,janeiro,11,Feminino,Luíza Melo,36,0,luíza33@live.com.br
1960,Trim 1,fevereiro,7,Feminino,Adrielle Gabriel,736,0,adrielle24@uol.com.br
1960,Trim 1,fevereiro,14,Feminino,Rebeca Reis,508,0,rebeca19@icloud.com.br
1960,Trim 1,fevereiro,17,Masculino,Guido Monteiro,655,2,guido25@live.com
1960,Trim 1,março,8,Masculino,Rafael Portela,788,0,rafael68@uol.com.br
1960,Trim 1,março,9,Masculino,Gabriel Soares,458,0,gabriel18@uol.com
1960,Trim 2,junho,8,Feminino,Carolina Bernardes,322,0,carolina57@uol.com.br
1960,Trim 3,agosto,5,Masculino,Nathan Rocha,661,0,nathan32@icloud.com.br
1960,Trim 4,outubro,8,Masculino,Henrique Souza,684,4,henrique14@terra.com
1960,Trim 4,outubro,18,Masculino,Wilson Meirelles,293,0,wilson63@uol.com.br
1960,Trim 4,novembro,12,Feminino,Paloma Sperandei,224,0,paloma43@yahoo.com.br
1960,Trim 4,dezembro,2,Masculino,Raphael Filho,191,0,raphael69@hotmail.com.br
1960,Trim 4,dezembro,6,Masculino,Pedro Ayres,567,1,pedro10@yahoo.com.br
1960,Trim 4,dezembro,12,Feminino,Rafaela Feio,553,0,rafaela55@live.com
1961,Trim 1,fevereiro,22,Masculino,Thomáz Bôas,519,0,thomáz63@uol.com
1961,Trim 1,março,19,Masculino,Gabriel Ribeiro,678,0,gabriel3@uol.com
1961,Trim 2,abril,22,Feminino,Joyce Souza,777,2,joyce19@live.com.br
1961,Trim 2,maio,15,Feminino,Katharina Barros,277,0,katharina9@terra.com
1961,Trim 3,julho,7,Masculino,Fabio Boccaletti,42,1,fabio35@icloud.com
1961,Trim 3,julho,10,Feminino,Isabelle Gonçalves,393,0,isabelle24@live.com.br
1961,Trim 3,julho,21,Feminino,Viviane Souza,147,5,viviane16@yahoo.com
1961,Trim 3,julho,21,Masculino,Breno Caputo,442,3,breno23@yahoo.com.br
1961,Trim 3,julho,28,Masculino,Bárbara Lima,420,1,bárbara25@outlook.com.br
1961,Trim 3,agosto,4,Masculino,Pedro Buraco,592,0,pedro39@live.com.br
1961,Trim 3,agosto,5,Masculino,Bruno Ferreira,328,4,bruno51@msn.com
1961,Trim 3,agosto,6,Masculino,Danilo Mendonça,167,0,danilo6@outlook.com
1961,Trim 3,agosto,7,Feminino,Bruna Londero,335,1,bruna51@live.com.br
1961,Trim 4,outubro,6,Masculino,Luiz Campista,611,0,luiz40@uol.com
1961,Trim 4,novembro,4,Feminino,Laura Araujo,484,1,laura17@msn.com
1961,Trim 4,novembro,20,Masculino,Stefan Nunes,574,0,stefan50@icloud.com
1961,Trim 4,novembro,26,Masculino,Rodrigo Ramos,98,2,rodrigo69@yahoo.com.br
1961,Trim 4,dezembro,18,Masculino,Daniel Monteiro,452,0,daniel65@gmail.com.br
1962,Trim 1,janeiro,18,Masculino,Rodrigo Bruno,29,0,rodrigo31@gmail.com
1962,Trim 1,fevereiro,28,Masculino,Célio Xavier,503,2,célio69@outlook.com
1962,Trim 2,abril,29,Feminino,Gabriela Aliani,681,0,gabriela37@uol.com.br
1962,Trim 2,maio,3,Masculino,Matheus Gomes,266,0,matheus47@uol.com.br
1962,Trim 2,junho,1,Feminino,Ana Gomes,271,0,ana44@terra.com.br
1962,Trim 3,julho,4,Feminino,Beatriz Santos,619,3,beatriz22@msn.com.br
1962,Trim 3,agosto,10,Masculino,Carlos Portela,62,1,carlos69@msn.com
1962,Trim 3,setembro,8,Feminino,Laís Oliveira,85,1,laís7@uol.com.br
1962,Trim 4,outubro,5,Masculino,Gabriel Silva,201,3,gabriel62@msn.com.br
1962,Trim 4,novembro,29,Feminino,Manuela Ferreira,43,0,manuela41@icloud.com.br
1962,Trim 4,dezembro,1,Masculino,Matheus Gomes,82,0,matheus70@icloud.com
1962,Trim 4,dezembro,6,Masculino,Lucas Neto,820,0,lucas24@yahoo.com
1963,Trim 1,janeiro,1,Feminino,Andreza Ramos,543,1,andreza54@hotmail.com
1963,Trim 1,fevereiro,15,Feminino,Ana Monte,402,0,ana54@outlook.com
1963,Trim 1,março,25,Masculino,João Alves,158,1,joão58@outlook.com.br
1963,Trim 1,março,31,Feminino,Fernanda Coutinho,680,0,fernanda11@uol.com
1963,Trim 2,junho,17,Feminino,Karina Camara,609,3,karina36@hotmail.com.br
1963,Trim 3,julho,14,Feminino,Isabella Scalabrin,463,0,isabella60@gmail.com
1963,Trim 3,agosto,27,Feminino,Sarah Souza,209,0,sarah65@hotmail.com
1963,Trim 3,setembro,20,Feminino,Paula Calbucci,398,0,paula44@gmail.com.br
1963,Trim 3,setembro,22,Masculino,Pedro Cardoso,313,0,pedro51@terra.com.br
1963,Trim 4,novembro,14,Feminino,Beatriz Biase,565,4,beatriz60@msn.com.br
1963,Trim 4,novembro,15,Masculino,Mateus Franco,721,0,mateus23@yahoo.com
1963,Trim 4,novembro,28,Masculino,Lucas Valim,613,2,lucas3@live.com
1964,Trim 1,março,9,Masculino,Alexandre Rodriguez,23,0,alexandre44@uol.com
1964,Trim 1,março,15,Feminino,Bianca Paz,3,0,bianca53@live.com.br
1964,Trim 2,abril,23,Masculino,Henrique Silva,818,0,henrique11@terra.com.br
1964,Trim 2,abril,26,Masculino,Cícero Ramos,775,1,cícero7@outlook.com.br
1964,Trim 2,maio,1,Masculino,Cassio Faria,765,2,cassio34@gmail.com
1964,Trim 3,julho,28,Feminino,Priscila Vogel,516,4,priscila68@uol.com.br
1964,Trim 3,agosto,21,Masculino,Juan Barbosa,474,2,juan41@outlook.com.br
1964,Trim 4,outubro,8,Masculino,Carlos Araujo,709,0,carlos35@outlook.com.br
1964,Trim 4,outubro,21,Masculino,Felipe Júnior,578,1,felipe61@icloud.com
1964,Trim 4,novembro,8,Masculino,Danilo Rubim,303,0,danilo43@gmail.com
1964,Trim 4,dezembro,1,Feminino,Thays Castro,20,0,thays23@uol.com
1965,Trim 1,janeiro,14,Masculino,Cláudio Aragão,598,0,cláudio21@msn.com.br
1965,Trim 1,março,4,Feminino,Paula Isbelle,375,0,paula40@hotmail.com.br
1965,Trim 2,abril,11,Feminino,Ana Carvalho,340,4,ana43@hotmail.com.br
1965,Trim 2,maio,31,Feminino,Debora Silva,510,5,debora32@gmail.com
1965,Trim 3,agosto,20,Feminino,Stela Mendonça,477,0,stela61@outlook.com
1965,Trim 3,setembro,4,Masculino,Guilherme Merotto,233,0,guilherme17@live.com
1965,Trim 3,setembro,15,Masculino,André Alves,491,0,andré21@icloud.com.br
1965,Trim 3,setembro,23,Masculino,Philipe Morete,252,3,philipe29@msn.com.br
1965,Trim 4,outubro,9,Feminino,Lorena Kohn,290,0,lorena18@live.com
1965,Trim 4,outubro,31,Masculino,Gustavo Assis,784,0,gustavo61@terra.com
1965,Trim 4,dezembro,17,Feminino,Barbara Procaci,376,0,barbara69@live.com.br
1966,Trim 1,janeiro,19,Masculino,Eduardo Soares,89,0,eduardo10@gmail.com
1966,Trim 1,fevereiro,9,Masculino,Carlos Silva,571,2,carlos31@live.com
1966,Trim 1,março,4,Masculino,Bruno Temporal,675,3,bruno59@uol.com
1966,Trim 2,abril,6,Masculino,Jorge Carvalho,165,1,jorge5@gmail.com
1966,Trim 2,abril,14,Feminino,Myllena Carneiro,56,2,myllena4@icloud.com.br
1966,Trim 3,julho,13,Masculino,Fabio Ramos,188,5,fabio62@outlook.com
1966,Trim 3,julho,28,Masculino,Helvio Pedrosa,282,2,helvio34@msn.com
1966,Trim 3,agosto,11,Masculino,Marcelo Magalhães,166,0,marcelo53@live.com
1966,Trim 3,agosto,27,Masculino,Igor Azevedo,814,0,igor48@gmail.com
1966,Trim 3,setembro,4,Masculino,Maurício Dias,460,2,maurício4@yahoo.com.br
1966,Trim 4,outubro,1,Feminino,Victoria Mazza,752,0,victoria53@msn.com.br
1966,Trim 4,outubro,28,Masculino,Felipe Jorge,129,1,felipe45@outlook.com.br
1966,Trim 4,novembro,14,Feminino,Michelle Miura,546,0,michelle54@gmail.com.br
1966,Trim 4,dezembro,3,Masculino,Mateus Duque,692,0,mateus36@terra.com
1966,Trim 4,dezembro,9,Feminino,Mariana Rotava,644,0,mariana46@msn.com
1967,Trim 1,fevereiro,11,Masculino,Diogo Peixoto,39,0,diogo68@yahoo.com.br
1967,Trim 1,fevereiro,19,Masculino,José Vieira,627,0,josé30@live.com
1967,Trim 2,abril,23,Masculino,Pedro Conceição,155,2,pedro54@gmail.com.br
1967,Trim 2,abril,24,Feminino,Giulia Lopes,535,0,giulia60@outlook.com.br
1967,Trim 2,maio,2,Feminino,Mariana Barrozo,753,0,mariana43@uol.com.br
1967,Trim 2,maio,6,Feminino,Ana Fioretti,421,0,ana32@terra.com.br
1967,Trim 2,maio,23,Feminino,Marcela Gasperi,643,0,marcela65@msn.com.br
1967,Trim 2,maio,26,Masculino,João Rodrigues,763,4,joão66@live.com.br
1967,Trim 2,maio,29,Feminino,Adrielle Forte,46,0,adrielle46@hotmail.com
1967,Trim 2,junho,18,Masculino,Pedro Santos,597,0,pedro44@icloud.com
1967,Trim 2,junho,28,Masculino,Caio Affonso,289,0,caio23@icloud.com.br
1967,Trim 3,agosto,31,Feminino,Gabriela Mello,156,3,gabriela60@icloud.com
1967,Trim 3,setembro,25,Feminino,Patrícia Ferreira,371,0,patrícia68@uol.com
1967,Trim 3,setembro,26,Feminino,Ana Silva,301,2,ana37@gmail.com.br
1967,Trim 4,outubro,24,Masculino,Khaio Mesquita,353,0,khaio54@outlook.com.br
1968,Trim 1,fevereiro,15,Masculino,Matheus Miranda,113,4,matheus30@msn.com.br
1968,Trim 1,fevereiro,28,Masculino,Henrique Lencastre,317,0,henrique3@live.com.br
1968,Trim 1,março,18,Feminino,Isabelle Firmino,570,0,isabelle50@msn.com.br
1968,Trim 2,abril,4,Feminino,Thais Rodrigues,302,3,thais24@live.com
1968,Trim 2,abril,9,Feminino,Juliana Hollander,581,2,juliana42@msn.com.br
1968,Trim 2,maio,16,Feminino,Ana Júnior,365,2,ana15@msn.com
1968,Trim 2,junho,11,Masculino,Arthur Rocha,12,0,arthur41@uol.com
1968,Trim 2,junho,17,Masculino,Daniel Ortiz,387,0,daniel64@terra.com
1968,Trim 3,julho,2,Feminino,Clara Bruno,60,0,clara25@icloud.com.br
1968,Trim 3,julho,6,Feminino,Isabela Chagas,102,0,isabela65@msn.com.br
1968,Trim 3,julho,9,Feminino,Mayara Soares,614,0,mayara62@uol.com
1968,Trim 3,julho,16,Feminino,Mariana Miranda,74,0,mariana41@yahoo.com
1968,Trim 3,setembro,17,Masculino,Felipe Mello,126,0,felipe27@yahoo.com.br
1968,Trim 4,outubro,10,Masculino,Fabio Sepúlveda,504,2,fabio47@msn.com
1968,Trim 4,outubro,24,Feminino,Larissa Nauenberg,305,0,larissa31@gmail.com
1968,Trim 4,dezembro,11,Masculino,Patrick Silva,339,4,patrick69@outlook.com.br
1968,Trim 4,dezembro,22,Feminino,Carolina Figueiredo,654,1,carolina35@hotmail.com.br
1968,Trim 4,dezembro,31,Masculino,João Júnior,799,0,joão12@icloud.com
1969,Trim 1,janeiro,6,Feminino,Amanda Machado,261,2,amanda22@gmail.com
1969,Trim 1,fevereiro,1,Feminino,Bruna Rosa,434,0,bruna3@hotmail.com.br
1969,Trim 1,fevereiro,9,Masculino,Leonardo Faria,819,0,leonardo47@outlook.com.br
1969,Trim 1,fevereiro,14,Feminino,Camilla Guimarães,99,2,camilla20@yahoo.com
1969,Trim 2,abril,8,Feminino,Stephanie Novak,384,1,stephanie66@yahoo.com.br
1969,Trim 2,maio,29,Masculino,Mateus Polastri,122,0,mateus65@msn.com.br
1969,Trim 2,junho,30,Feminino,Ana Silva,6,4,ana59@outlook.com.br
1969,Trim 3,julho,8,Feminino,Thaís Pereira,706,2,thaís38@msn.com
1969,Trim 3,julho,29,Feminino,Roberta Pimenta,153,4,roberta20@msn.com
1969,Trim 3,agosto,14,Masculino,Hércules Júnior,219,0,hércules18@uol.com
1969,Trim 3,agosto,15,Masculino,Thomaz Ferreira,65,2,thomaz10@uol.com.br
1969,Trim 3,agosto,24,Masculino,Matheus Ramos,674,1,matheus51@uol.com.br
1969,Trim 3,setembro,10,Masculino,Jônatas Soares,690,2,jônatas31@terra.com.br
1969,Trim 4,outubro,28,Masculino,Raphael Rezende,544,0,raphael17@hotmail.com.br
1969,Trim 4,outubro,31,Feminino,Maria Cardoso,551,4,maria41@gmail.com.br
1970,Trim 1,janeiro,17,Masculino,Matheus Afonso,653,2,matheus28@live.com
1970,Trim 1,janeiro,22,Masculino,Rodrigo Mendes,169,0,rodrigo28@yahoo.com
1970,Trim 1,fevereiro,6,Masculino,Daniel Alcoforado,416,0,daniel33@gmail.com.br
1970,Trim 1,fevereiro,27,Masculino,Eric Neves,455,0,eric12@outlook.com.br
1970,Trim 1,março,15,Masculino,Victor Magalhães,419,1,victor65@yahoo.com.br
1970,Trim 1,março,17,Feminino,Mariana Sousa,326,0,mariana45@gmail.com.br
1970,Trim 2,maio,9,Feminino,Camilla Cardeman,705,0,camilla59@gmail.com
1970,Trim 2,maio,11,Feminino,Karine Barros,181,1,karine37@yahoo.com.br
1970,Trim 2,maio,14,Feminino,Marina Aragão,264,1,marina19@outlook.com
1970,Trim 2,maio,16,Masculino,Jonas Gomes,758,0,jonas27@live.com.br
1970,Trim 2,maio,16,Masculino,Rodrigo Feijo,323,0,rodrigo64@live.com
1970,Trim 2,maio,25,Masculino,Jônatas Castro,400,3,jônatas54@terra.com.br
1970,Trim 2,junho,16,Masculino,Iuri Neto,545,0,iuri44@uol.com
1970,Trim 3,julho,2,Feminino,Giselia Thiele,250,0,giselia37@msn.com.br
1970,Trim 3,julho,9,Masculino,Wellington Duarte,561,2,wellington4@outlook.com
1970,Trim 4,outubro,17,Feminino,Lorena Carvalho,682,2,lorena65@icloud.com
1970,Trim 4,novembro,3,Masculino,Guilherme Castilho,482,1,guilherme13@hotmail.com
1970,Trim 4,novembro,16,Masculino,Raphael Ferman,287,0,raphael54@live.com
1971,Trim 1,fevereiro,9,Feminino,Yasmim Bittencourt,527,0,yasmim30@gmail.com
1971,Trim 1,março,27,Masculino,Breno Costa,352,0,breno18@uol.com.br
1971,Trim 2,abril,10,Masculino,Thales Andrade,112,3,thales9@gmail.com.br
1971,Trim 2,abril,15,Feminino,Ana Felippe,244,3,ana43@live.com.br
